area_de_conhecimento,disciplina,assunto_pai
Administração,Administração Financeira e Orçamentária,Ciclo Orçamentário
Administração,Administração Financeira e Orçamentária,Créditos Adicionais
Administração,Administração Financeira e Orçamentária,Despesa Pública
Administração,Administração Financeira e Orçamentária,Despesas de Exercícios Anteriores em AFO
Administração,Administração Financeira e Orçamentária,Estágios da Receita e Despesa
Administração,Administração Financeira e Orçamentária,LC nº 101 de 2000 - Lei de Responsabilidade Fiscal
Administração,Administração Financeira e Orçamentária,Legislação Complementar de AFO
Administração,Administração Financeira e Orçamentária,Orçamento Público em AFO
Administração,Administração Financeira e Orçamentária,Princípios Orçamentários
Administração,Administração Financeira e Orçamentária,Programação Orçamentária e Financeira
Administração,Administração Financeira e Orçamentária,Programação e Execução Financeira e Orçamentária
Administração,Administração Financeira e Orçamentária,Receita  Pública
Administração,Administração Financeira e Orçamentária,Restos a Pagar
Administração,Administração Financeira e Orçamentária,Suprimento de Fundos (Regime de Adiantamento)
Ciências Contábeis,Contabilidade Geral,Balanço Patrimonial
Ciências Contábeis,Contabilidade Geral,Contabilidade - Noções Gerais
Ciências Contábeis,Contabilidade Geral,Demonstração do Resultado do Exercício
Ciências Contábeis,Contabilidade Geral,Demonstração do Valor Adicionado – DVA
Ciências Contábeis,Contabilidade Geral,Demonstração dos Fluxos de Caixa -DFC
Ciências Contábeis,Contabilidade Geral,Investimentos
Ciências Contábeis,Contabilidade Geral,Legislação Tributária na Contabilidade Geral
Ciências Contábeis,Contabilidade Geral,Legislação de Contabilidade
Ciências Contábeis,Contabilidade Geral,Orçamentos
Ciências Contábeis,Contabilidade Geral,Outras Demonstrações
Ciências Contábeis,Contabilidade Geral,Procedimentos Específicos
Ciências Contábeis,Contabilidade Geral,Sistema contábil e de controles internos
Ciências Contábeis,Contabilidade Pública,Contabilidade Pública - Noções Introdutórias
Ciências Contábeis,Contabilidade Pública,Demonstrativos Fiscais
Ciências Contábeis,Contabilidade Pública,Demonstrações Contábeis
Ciências Contábeis,Contabilidade Pública,Escrituração Contábil
Ciências Contábeis,Contabilidade Pública,Execução Financeira e Orçamentária
Ciências Contábeis,Contabilidade Pública,Ingressos e Dispêndios Públicos
Ciências Contábeis,Contabilidade Pública,Normas e Legislações de Contabilidade Pública
Ciências Contábeis,Contabilidade Pública,Procedimentos Contábeis Patrimoniais
Ciências Contábeis,Contabilidade Pública,Sistema Contábil
Direito,Direito Administrativo,Agentes públicos e Lei 8.112 de 1990
Direito,Direito Administrativo,Atos administrativos
Direito,Direito Administrativo,Bens Públicos na Administração Pública
Direito,Direito Administrativo,"Conceitos iniciais de Direito Administrativo - Histórico, Funções de Estado e Fontes"
Direito,Direito Administrativo,Contratos Administrativos
Direito,Direito Administrativo,Contratos Administrativos – Lei nº 14.133 de 2021
Direito,Direito Administrativo,Controle da administração pública
Direito,Direito Administrativo,Decreto nº 6.170 de 2007 e Portaria nº 424 de 2016 - Transferência de Recursos da União mediante Convênios e Contratos de Repasse
Direito,Direito Administrativo,Improbidade administrativa - Lei nº 8.429 de 1992 e Lei nº 14.230 de 2021
Direito,Direito Administrativo,Intervenção do estado na propriedade
Direito,Direito Administrativo,Licitação nas Empresas Estatais - Lei nº 13.303 de 2016 - Estatuto Jurídico da Empresa Pública e da Sociedade de Economia Mista
Direito,Direito Administrativo,Licitações e Lei 8.666 de 1993.
Direito,Direito Administrativo,Licitações e Lei nº 14.133 de 2021
Direito,Direito Administrativo,Organização da Administração Pública
Direito,Direito Administrativo,Poderes da Administração
Direito,Direito Administrativo,Processo Administrativo - Lei nº 9.784 de 1999 e Lei nº 14.210 de 2021
Direito,Direito Administrativo,Regime jurídico administrativo
Direito,Direito Administrativo,Responsabilidade civil do estado
Direito,Direito Administrativo,Serviços Públicos
Direito,Direito Ambiental,Código Florestal – Lei nº 12.651 de 2012
Direito,Direito Ambiental,Direito Internacional Ambiental
Direito,Direito Ambiental,Direito ambiental. Conceitos gerais e evolução histórica
Direito,Direito Ambiental,Direito constitucional ambiental
Direito,Direito Ambiental,Federação e competências em matéria ambiental
Direito,Direito Ambiental,Instrumentos da Política Nacional do Meio Ambiente
Direito,Direito Ambiental,Política Nacional do Meio Ambiente-PNMA – Lei nº 6.938 de 1981
Direito,Direito Ambiental,Princípios do direito ambiental
Direito,Direito Ambiental,Proteção do Meio Ambiente em Normas Infraconstitucionais
Direito,Direito Ambiental,Resolução CONAMA n° 398/2008 -Plano de Emergência Individual para incidentes de poluição por óleo em águas sob jurisdição nacional
Direito,Direito Ambiental,Responsabilidade ambiental
Direito,Direito Ambiental,Sistema Nacional de Unidades de Conservação-SNUC – Lei nº 9.985 de 2000 e Decreto nº 4.340 de 2002
Direito,Direito Ambiental,Sustentabilidade
Direito,Direito Ambiental,Tutela processual civil do meio ambiente e instrumentos extrajudiciais de proteção
Direito,Direito Civil,Contratos em Espécie
Direito,Direito Civil,Contratos em Geral
Direito,Direito Civil,Direito das Coisas / Direitos Reais
Direito,Direito Civil,Direito das Obrigações
Direito,Direito Civil,Direito das Sucessões
Direito,Direito Civil,Direito de Família
Direito,Direito Civil,Lei de Introdução às Normas do Direito Brasileiro (LINDB)
Direito,Direito Civil,Parte Geral
Direito,Direito Civil,Responsabilidade civil
Direito,Direito Constitucional,Administração Pública – Disposições Gerais e Servidores Públicos
Direito,Direito Constitucional,Ato das Disposições Constitucionais Transitórias - ADCT
Direito,Direito Constitucional,Constituições Estaduais
Direito,Direito Constitucional,Controle de Constitucionalidade
Direito,Direito Constitucional,Defesa do Estado e das Instituições Democráticas
Direito,Direito Constitucional,Direitos Individuais
Direito,Direito Constitucional,Direitos Individuais - Remédios Constitucionais e Garantias Processuais
Direito,Direito Constitucional,Direitos Políticos
Direito,Direito Constitucional,Direitos Sociais
Direito,Direito Constitucional,Direitos da Nacionalidade
Direito,Direito Constitucional,Disposições Constitucionais Gerais
Direito,Direito Constitucional,Funções Essenciais à Justiça
Direito,Direito Constitucional,Ordem Econômica e Financeira
Direito,Direito Constitucional,Ordem Social
Direito,Direito Constitucional,Organização Político-Administrativa do Estado
Direito,Direito Constitucional,Organização do Poder Judiciário
Direito,Direito Constitucional,Organização dos Poderes
Direito,Direito Constitucional,Partidos Políticos
Direito,Direito Constitucional,Poder Executivo
Direito,Direito Constitucional,Poder Judiciário
Direito,Direito Constitucional,Poder Legislativo
Direito,Direito Constitucional,Preâmbulo da Constituição da República Federativa do Brasil  - 1988
Direito,Direito Constitucional,Princípios Fundamentais da República
Direito,Direito Constitucional,Processo Legislativo
Direito,Direito Constitucional,Teoria da Constituição
Direito,Direito Constitucional,Teoria dos Direitos Fundamentais
Direito,Direito Penal,Antijuridicidade
Direito,Direito Penal,Ação penal
Direito,Direito Penal,Causas de extinção da punibilidade
Direito,Direito Penal,Classificação dos crimes
Direito,Direito Penal,Concurso de Pessoas
Direito,Direito Penal,Concurso de crimes
Direito,Direito Penal,Crimes contra a administração pública
Direito,Direito Penal,Crimes contra a dignidade sexual
Direito,Direito Penal,Crimes contra a família
Direito,Direito Penal,Crimes contra a fé pública
Direito,Direito Penal,Crimes contra a honra
Direito,Direito Penal,Crimes contra a incolumidade pública
Direito,Direito Penal,Crimes contra a inviolabilidade de correspondência
Direito,Direito Penal,Crimes contra a inviolabilidade de segredos
Direito,Direito Penal,Crimes contra a inviolabilidade do domicílio
Direito,Direito Penal,Crimes contra a liberdade pessoal
Direito,Direito Penal,Crimes contra a organização do trabalho
Direito,Direito Penal,Crimes contra a paz pública
Direito,Direito Penal,Crimes contra a propriedade imaterial
Direito,Direito Penal,Crimes contra a vida
Direito,Direito Penal,Crimes contra o Estado Democrático de Direito
Direito,Direito Penal,Crimes contra o patrimônio
Direito,Direito Penal,Crimes contra o respeito aos mortos
Direito,Direito Penal,Crimes contra o sentimento religioso
Direito,Direito Penal,Culpabilidade
Direito,Direito Penal,Efeitos da condenação
Direito,Direito Penal,Legislação Penal Especial
Direito,Direito Penal,Lesões corporais
Direito,Direito Penal,Livramento condicional
